Market,Session,RSI Level
1000000MOGUSDT,sydney,oversold
10000QUBICUSDT,sydney,both
10000WENUSDT,sydney,oversold
10000WHYUSDT,sydney,none
1000APUUSDT,sydney,both
1000LUNCUSDT,sydney,none
1000MUMUUSDT,sydney,both
1000PEPEUSDT,sydney,none
1000TOSHIUSDT,sydney,oversold
1CATUSDT,sydney,both
1INCHUSDT,sydney,none
ACEUSDT,sydney,none
ACTUSDT,sydney,both
AEVOUSDT,sydney,none
AGIUSDT,sydney,none
AGLDUSDT,sydney,oversold
AI16ZUSDT,sydney,oversold
AIOZUSDT,sydney,oversold
AIUSDT,sydney,none
AIXBTUSDT,sydney,both
AKTUSDT,sydney,none
ALCHUSDT,sydney,both
ALEOUSDT,sydney,oversold
ALICEUSDT,sydney,none
ALPHAUSDT,sydney,none
ALTUSDT,sydney,none
AMBUSDT,sydney,none
APEUSDT,sydney,both
APTUSDT,sydney,oversold
ARBUSDT,sydney,none
ARCUSDT,sydney,both
ARPAUSDT,sydney,none
ASTRUSDT,sydney,none
ATAUSDT,sydney,none
ATHUSDT,sydney,both
AVAILUSDT,sydney,both
AVAUSDT,sydney,oversold
AXLUSDT,sydney,both
BALUSDT,sydney,both
BANANAUSDT,sydney,none
BATUSDT,sydney,none
BBUSDT,sydney,none
BCHUSDT,sydney,none
BEAMUSDT,sydney,none
BELUSDT,sydney,none
BENDOGUSDT,sydney,both
BICOUSDT,sydney,none
BIOUSDT,sydney,none
BNXUSDT,sydney,none
BTCUSDT,sydney,both
CARVUSDT,sydney,both
CELRUSDT,sydney,none
CETUSUSDT,sydney,both
CHESSUSDT,sydney,none
CHILLGUYUSDT,sydney,both
CHRUSDT,sydney,none
CHZUSDT,sydney,none
CLOUDUSDT,sydney,both
COOKIEUSDT,sydney,both
COOKUSDT,sydney,none
CROUSDT,sydney,none
CTCUSDT,sydney,both
CVCUSDT,sydney,oversold
DASHUSDT,sydney,none
DEEPUSDT,sydney,both
DEXEUSDT,sydney,none
DGBUSDT,sydney,none
DOGUSDT,sydney,both
DOTUSDT,sydney,none
DRIFTUSDT,sydney,oversold
EIGENUSDT,sydney,none
ENAUSDT,sydney,oversold
ENJUSDT,sydney,none
ENSUSDT,sydney,both
EOSUSDT,sydney,none
ETHFIUSDT,sydney,none
FARTCOINUSDT,sydney,oversold
FBUSDT,sydney,oversold
FIDAUSDT,sydney,both
FLOWUSDT,sydney,none
FLRUSDT,sydney,oversold
FLUXUSDT,sydney,none
FOXYUSDT,sydney,both
FTNUSDT,sydney,none
FUELUSDT,sydney,none
FUSDT,sydney,both
FWOGUSDT,sydney,both
GIGAUSDT,sydney,both
GODSUSDT,sydney,none
GOMININGUSDT,sydney,oversold
GRASSUSDT,sydney,both
GRIFFAINUSDT,sydney,both
GRTUSDT,sydney,none
GTCUSDT,sydney,none
HBARUSDT,sydney,both
HIVEUSDT,sydney,both
HMSTRUSDT,sydney,none
HNTUSDT,sydney,none
HOTUSDT,sydney,none
HYPEUSDT,sydney,oversold
ICPUSDT,sydney,none
ICXUSDT,sydney,none
IDUSDT,sydney,none
IMXUSDT,sydney,none
INJUSDT,sydney,none
IOUSDT,sydney,none
JSTUSDT,sydney,both
JTOUSDT,sydney,both
JUPUSDT,sydney,both
KAIAUSDT,sydney,both
KASUSDT,sydney,none
KDAUSDT,sydney,none
KMNOUSDT,sydney,oversold
KSMUSDT,sydney,none
L3USDT,sydney,both
LAIUSDT,sydney,none
LINAUSDT,sydney,none
LISTAUSDT,sydney,none
LITUSDT,sydney,none
LRCUSDT,sydney,none
LUMIAUSDT,sydney,none
LUNA2USDT,sydney,none
MAGICUSDT,sydney,none
MANEKIUSDT,sydney,oversold
MASAUSDT,sydney,both
MAVIAUSDT,sydney,none
MAVUSDT,sydney,none
MBOXUSDT,sydney,none
MDTUSDT,sydney,none
MEUSDT,sydney,both
MEWUSDT,sydney,none
MKRUSDT,sydney,none
MNTUSDT,sydney,both
MOBILEUSDT,sydney,oversold
MOCAUSDT,sydney,oversold
MONUSDT,sydney,both
MOODENGUSDT,sydney,both
MORPHOUSDT,sydney,both
MOTHERUSDT,sydney,oversold
MOVEUSDT,sydney,oversold
MOVRUSDT,sydney,none
MYRIAUSDT,sydney,oversold
MYROUSDT,sydney,none
NEARUSDT,sydney,oversold
NEIROETHUSDT,sydney,none
NFPUSDT,sydney,none
NTRNUSDT,sydney,none
NULSUSDT,sydney,none
OGNUSDT,sydney,none
OLUSDT,sydney,oversold
OMGUSDT,sydney,both
OMUSDT,sydney,both
ONEUSDT,sydney,none
ONGUSDT,sydney,none
ORDERUSDT,sydney,both
OXTUSDT,sydney,none
PAXGUSDT,sydney,none
PEAQUSDT,sydney,both
PENGUSDT,sydney,oversold
PENGUUSDT,sydney,both
PHAUSDT,sydney,oversold
PIRATEUSDT,sydney,oversold
PONKEUSDT,sydney,none
POPCATUSDT,sydney,none
PORTALUSDT,sydney,none
POWRUSDT,sydney,none
PRIMEUSDT,sydney,both
PUFFERUSDT,sydney,both
RENUSDT,sydney,both
RSRUSDT,sydney,none
RUNEUSDT,sydney,oversold
SAFEUSDT,sydney,oversold
SCAUSDT,sydney,oversold
SCRTUSDT,sydney,none
SDUSDT,sydney,none
SILLYUSDT,sydney,none
SLERFUSDT,sydney,both
SLFUSDT,sydney,none
SOLOUSDT,sydney,both
SOLUSDT,sydney,none
SONICUSDT,sydney,both
SPELLUSDT,sydney,none
STEEMUSDT,sydney,none
STGUSDT,sydney,oversold
STPTUSDT,sydney,both
STRKUSDT,sydney,none
SUNDOGUSDT,sydney,none
SUNUSDT,sydney,oversold
SUSHIUSDT,sydney,none
SWARMSUSDT,sydney,both
SWEATUSDT,sydney,both
SWELLUSDT,sydney,both
SYNUSDT,sydney,oversold
SYSUSDT,sydney,none
TAIUSDT,sydney,both
TAOUSDT,sydney,both
THEUSDT,sydney,none
TLMUSDT,sydney,none
TNSRUSDT,sydney,none
TRBUSDT,sydney,none
TRUUSDT,sydney,none
TRXUSDT,sydney,oversold
TWTUSDT,sydney,oversold
UMAUSDT,sydney,none
USDCUSDT,sydney,none
USDEUSDT,sydney,both
USTCUSDT,sydney,both
UXLINKUSDT,sydney,both
VANAUSDT,sydney,both
VELODROMEUSDT,sydney,none
VETUSDT,sydney,none
VIRTUALUSDT,sydney,both
WIFUSDT,sydney,none
XCHUSDT,sydney,none
